BLOCK;DATETIME;TX;DONAR;DONATION[BTC];DAYSUM[BTC];DAYRATE[AGS/BTC];RELATED_ADDR
278095;2014-01-01 10:57:56 UTC;4da03e8646e140326291a446d76b81e251d815bbd3edfe51e09b8ee3dac49d4e;1QFYDFzJyB9eTUKYhiSRFvtee9NZYg6taf;0.1;36.79386186;135.89223167;
278108;2014-01-01 12:44:37 UTC;0cf8c2ae462e19d2516e60fc44edbc3711da80398d82332ec15016c39e797345;1B2j7DcFBC7Bp3zhMDMSC1FYLeRS9V3NVo;0.1;36.89386186;135.52389877;
278109;2014-01-01 12:54:59 UTC;65f38dea27fc06433dca5e4c29e52fe4bb33ffb04e36bc6cdb508d3985a83847;1CXM5comuE2Vapb512hYtAeFmk3Pwa8qmb;0.01;36.90386186;135.48717527;
278110;2014-01-01 13:10:14 UTC;de63b6ea9d5c1a9369e034626df886ed7671fde8db906fa3c0c7d09822de4af3;1EGWdJNXAYpnRVUVKLD5avxS2vh7F4h4dZ;0.05;36.95386186;135.3038559;
278114;2014-01-01 13:11:18 UTC;150f61ef2131ff5b5ad90fdd463bbf9a85f23e99bc0813978ddc7dc1fc140228;1PsVttUXhCrBRSDWp6f3LRED1vdF23Bdyj;0.11;37.06386186;134.90229429;
278117;2014-01-01 13:47:12 UTC;66036c13b85d3ec7e94acefdc35714808bb5e11af0de665ef2c608af81ef4ceb;1Cy2JRUL74zs3Bz8atquWtUD9oPzgvyNbt;0.5;37.56386186;133.10665497;
278117;2014-01-01 13:47:12 UTC;ecba4311b8eedb158b0bc41363b4df583df971eba5d2624ac5eef80559c807b7;1GgrHHhwVzxTmYh7x7wP2eqKpgg6v2B9FK;0.03;37.59386186;133.00043551;
278119;2014-01-01 14:00:31 UTC;234a29ae63de000d600e57951bfcb27dbc78443cc2fe571ccd2e093488c9dd8b;1N12nkx79Z9XNjfDHjYP6brdx3JUmCtYEW;0.03;37.62386186;132.89438545;
278119;2014-01-01 14:00:31 UTC;61693df1c80411f2a750d3008f5ed72f0b27005a941380c3e7a7bfd636e9fde3;1BdJe2Z48Xrb4zeTziXt1NP6DiXKFtf7R3;1.0;38.62386186;129.45365272;
278121;2014-01-01 14:15:48 UTC;6125b20899c7e168e4502f882043d753e20a3777a85dec052c19e686d1025684;1AN1HQxgSxjz1y3Pe5tVT7zmg1FtqD8pN;0.66;39.28386186;127.2787288;
278121;2014-01-01 14:15:48 UTC;ce053d2a149339eb9c515393358350b5cfc071654e663207073eaa8c53827d81;18aYPmmv2rZSpsw89mtz9K2HCq58KtkwEM;0.1;39.38386186;126.95555397;
278123;2014-01-01 14:42:36 UTC;e83b610ef5e1d29c3cc1023493fcb2e39ced71044610843dd1e65bb30c69f691;1CvZyUt4nZat4AmkqaofzqZiFGLfhkMqq8;0.5;39.88386186;125.36398851;
278130;2014-01-01 15:32:27 UTC;990da022207b2b7c68d63272c7ef50e16b001bbdbf8b30f6d9f53fff606d91f7;1491RbbGWMZQU95AQj2YJTpH61RjpQd7fj;0.1;39.98386186;125.05045204;
